OBJECTID,FEATURE_ID,FROM_MH,LENGTH_FT,DIAMETER,MATERIAL,SLOPE,CFCC,STORMWATER,LANDUSE,PCI,KNOWN_ISSUES,PACP,UPSOURCE,AGE,FLOW_TO,RISE,Shape,GDB_GEOMATTR_DATA,UPSTREAM_CNT,SL_Class,Q_inf,Q,D_LEFT_TARGET,Dn,N_Full,Sed_Vol,DIRECT_CNT,FlushPerYear,VEG_SCORE,Sed_PerYr,MH_ANGLE,V
11,262206070,260722063744.00000000,40.00000000,8,PVC,0.00696500,LOCAL,NULL,NULL,75,LOW,NULL,NULL,20,260722063741.00000000,0.27860000,0x5F0D00000114F02324AD8F10414160C0EB6CCE766C41E002C2E68F104141B428CC64C9766C41,NULL,21,2,NULL,0.10527379,0.84659058,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,1.54263673
12,262206077,260722063754.00000000,192.00000000,8,PVC,0.04851984,LOCAL,NULL,NULL,75,LOW,NULL,NULL,20,260722063750.00000000,9.31580900,0x5F0D0000010409000000C801CE534E1141417066F47807776C410809512A49114141F08ECCDC03776C41F0DF62584611414144F4E44802776C411054206C41114141AC58C2C0FF766C41803442273A114141905A8E92FC766C4178C3B69B32114141707ACA19FA766C41300865A22B11414104E38606F8766C41E01E97B523114141AC1D5804F6766C41E8C8B74F16114141785194F3F2766C4101000000010000000001000000FFFFFFFF0000000002,NULL,12,2,NULL,0.06015645,0.18328894,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,3.31134174
13,262206071,260722063745.00000000,168.00000000,8,PVC,0.01570739,LOCAL,NULL,NULL,75,LOW,NULL,NULL,20,260722063744.00000000,2.63884100,0x5F0D000001040A000000984CE1C2AB1041417C32DF4FE1766C414833E2E2A410414158585048DF766C41887700879F104141045BD81EDD766C414861F1B99C1041419CFCBCBFDB766C4168E930E499104141CC92993CDA766C41A081242397104141E021458ED8766C41A0D745FE931041418C8AA513D6766C4188BF13B591104141A8FD0987D3766C41F848964B90104141B488CEE7D0766C41F02324AD8F10414160C0EB6CCE766C4101000000010000000001000000FFFFFFFF0000000002,NULL,21,2,NULL,0.10527379,0.56374406,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,2.11820754
14,262210010,260722100120.00000000,261.00000000,8,PVC,0.00329564,COLLECTOR,NULL,NULL,93,LOW,NULL,NULL,17,260722100113.00000000,0.86016100,0x5F0D0000011468D7D073600D41411CEB42DB73776C41C00866F8030D4141B8BC7FB55C776C41,NULL,68,2,NULL,0.34088655,3.98523297,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,1.73286865
15,262210009,260722100113.00000000,406.00000000,8,PVC,0.00420346,COLLECTOR,NULL,NULL,93,LOW,NULL,NULL,17,260722100103.00000000,1.70660500,0x5F0D00000114C00866F8030D4141B8BC7FB55C776C41F8B882FD750C41413822B2CD38776C41,NULL,152,2,NULL,0.76198170,7.88778044,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,2.54531486
16,262210007,260722100103.00000000,199.00000000,8,PVC,0.00385667,LOCAL,NULL,NULL,77,LOW,NULL,NULL,17,260722100102.00000000,0.76747800,0x5F0D00000114F8B882FD750C41413822B2CD38776C414833E241BD0C41411884122627776C41,NULL,152,2,NULL,0.76198170,8.23478061,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,2.40956052
17,262210024,260722100133.00000000,159.00000000,8,PVC,0.00861265,COLLECTOR,NULL,NULL,93,LOW,NULL,NULL,17,260722100120.00000000,1.36941100,0x5F0D00000114903C23A3BE0D4141CC3E68A78A776C4168D7D073600D41411CEB42DB73776C41,NULL,33,2,NULL,0.16543024,1.19635545,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,1.87829201
18,262210034,260722100208.00000000,272.00000000,8,PVC,0.01036243,LOCAL,NULL,NULL,79,LOW,NULL,NULL,18,260722100209.00000000,2.81858000,0x5F0D000001142066E8D87F104141046F6EEF46776C41A858487D1F1041416428070C5F776C41,NULL,201,2,NULL,1.00762054,6.64323994,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,3.86074786
19,262210032,260722100206.00000000,146.00000000,8,PVC,0.00316975,LOCAL,NULL,NULL,79,LOW,NULL,NULL,18,260722100207.00000000,0.46278400,0x5F0D00000114E8652759DD104141B0B7805831776C41109B22A3A51041410C6E51883D776C41,NULL,174,2,NULL,0.87226852,10.39803860,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,2.54646643
20,262210033,260722100207.00000000,107.00000000,8,PVC,0.00258803,LOCAL,NULL,NULL,79,LOW,NULL,NULL,18,260722100208.00000000,0.27691900,0x5F0D00000114109B22A3A51041410C6E51883D776C412066E8D87F104141046F6EEF46776C41,NULL,174,2,NULL,0.87226852,11.50745480,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,2.54646643
21,262206161,260722063221.00000000,169.00000000,8,PVC,0.00594005,LOCAL,NULL,NULL,73,LOW,NULL,NULL,19,260722063220.00000000,1.00386800,0x5F0D00000114587BD8DF6E10414134FCDA3CB4756C41487A8A531D104141B4A2066CB4756C41,NULL,132,2,NULL,0.66172095,5.76226949,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,2.75503962
22,262206162,260722063222.00000000,206.00000000,8,PVC,0.00288974,LOCAL,NULL,NULL,49,LOW,NULL,NULL,19,260722063221.00000000,0.59528700,0x5F0D000001040800000088DE0854D51041417C3A5178B9756C41982B3C27C4104141EC6DF9C6B7756C4148B6CDC9B6104141E068BAB4B6756C41C8D4709AA810414160BD2ACAB5756C4110C5C31D9C104141DCDF8629B5756C4148B1B61B8F104141B8D5F9AEB4756C41302DD71583104141F8271E65B4756C41587BD8DF6E10414134FCDA3CB4756C4101000000010000000001000000FFFFFFFF0000000002,NULL,132,2,NULL,0.66172095,8.26150617,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,2.09251309
23,262206163,260722063223.00000000,200.00000000,8,PVC,0.00576961,LOCAL,NULL,NULL,49,LOW,NULL,NULL,19,260722063222.00000000,1.15392200,0x5F0D000001040E000000B800C77D27114141503756AEC6756C411822BA061E114141CC38B388C4756C4130243A461611414120D28FEDC2756C4138266AD80E11414108AC0F80C1756C4168041B8B08114141100DD85EC0756C410833ED630411414194E10BAABF756C41A09E3E5CFE104141201DC4B0BE756C41B0B0E02CF8104141586A30C0BD756C4130DAAF6EF11041413C1621CBBC756C41F80685F3EA104141B40209EFBB756C413090C613E310414130D58CF7BA756C41F8CFE6F8DD104141C4134D62BA756C41388626C3D9104141606E1DEDB9756C4188DE0854D51041417C3A5178B9756C4101000000010000000001000000FFFFFFFF0000000002,NULL,132,2,NULL,0.66172095,5.84676162,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,2.75503962
24,262206164,260722063204.00000000,363.00000000,8,PVC,0.00892669,LOCAL,NULL,NULL,49,LOW,NULL,NULL,19,260722063223.00000000,3.24038800,0x5F0D0000010414000000C0476A64C6114141B8A91A6AB5756C4150415860C011414130D02E78B5756C4168FA38F0B811414138818999B5756C4128E17BE6B0114141F8AFF9CEB5756C4118608CF3A811414118819115B6756C41987610D5A0114141F47F4170B6756C4158968E13981141417CDECDE7B6756C4178B9546B8E11414198B1C185B7756C41C068A221861141416418AA24B8756C418070F7307E114141740456D1B8756C41E06C86F274114141F8E3A9B4B9756C4190E157156C114141C8CBADAABA756C4160073B866111414134DCA0F5BB756C4138F3ABF856114141FC13D56BBD756C41983151154D114141041CC8F6BE756C41E07ED33543114141506308AFC0756C41007D01C73B11414130E8371CC2756C41801082D1341141411CA2D78EC3756C41D030B53A2F114141A8B8F7CEC4756C41B800C77D27114141503756AEC6756C4101000000010000000001000000FFFFFFFF0000000002,NULL,132,2,NULL,0.66172095,4.70049278,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,3.02598847
25,262206156,260722063110.00000000,100.00000000,8,PVC,0.00438698,LOCAL,NULL,NULL,53,LOW,NULL,NULL,19,260722063111.00000000,0.43869800,0x5F0D0000010403000000904357C0E50E414134E03F5800766C4168E3881DD70E414198186BCF03766C4130919E41C10E4141387B1AD208766C4101000000010000000001000000FFFFFFFF0000000002,NULL,132,2,NULL,0.66172095,6.70510818,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,NULL,2.53541650
26,262206157,260722063109.00000000,272.00000000,8,PVC,0.00448779,LOCAL,NULL,NULL,53,LOW,NULL,NULL,19,260722063110.00000000,1.22067900,0x5F0D000001143832220C470F4141F47FE76BE9756C41904357C0E50E414134E03F5800766C41,NULL,132,2,NULL,0.66172095,6.62937144,8.01200000,0.01200000,0.00000000,0,NULL,3,0.00000000,90,2.53541650
27,262206158,260722063108.00000000,205.00000000,8,PVC,0.00502142,LOCAL,NULL,NULL,44,LOW,NULL,NULL,19,260722063109.00000000,1.02939100,0x5F0D000001040A00000048801A406D0F414114317829D3756C41281A5DA16C0F4141B4B50B7AD5756C4180F08EBF6B0F4141E043EF2FD7756C411806BFDC680F41413C47AAA1DA756C4170B8FCA5640F41413CAB12E6DD756C418074B19A5F0F414150F1E5CBE0756C41381221E2590F4141846C7964E3756C41384C009C530F414124BD48BCE5756C4108C6D4554D0F4141C8F103B6E7756C413832220C470F4141F47FE76BE9756C4101000000010000000001000000FFFFFFFF0000000002,NULL,132,2,NULL,0.66172095,6.26722580,8.01200000,0.01200000,0.00000000,0,NULL,1,0.00000000,NULL,2.53541650
28,262210002,260722100204.00000000,315.00000000,8,PVC,0.04012576,LOCAL,NULL,NULL,79,LOW,NULL,NULL,20,260722100205.00000000,12.63961300,0x5F0D000001040A00000028813A50FF114141C8D5489418776C41F871A1E2EE114141B839A8BE18776C41E0EDC1DCE2114141C0729DF218776C41486936C6D6114141E074783919776C41C8988748C8114141CC5BC8A619776C41C0AC9CE1B1114141485428841A776C41281ADDF59D114141A8307C7F1B776C4130A771248E114141CC06CC6C1C776C41F84457E075114141FCC8731B1E776C41700A2B9965114141B4CADF6A1F776C4101000000010000000001000000FFFFFFFF0000000002,NULL,41,2,NULL,0.20553454,0.68863154,8.01200000,0.01200000,0.00000000,0,NULL,0,0.00000000,90,4.13554801
29,262205005,260722053405.00000000,255.00000000,8,PVC,0.00115105,LOCAL,NULL,NULL,91,LOW,NULL,NULL,23,260722053404.00000000,0.29351900,0x5F0D000001040A000000E006A251520641412839ED24F6756C41B07955B5470641417424AA4CF5756C41706F24A247064141C4DE314BF5756C41704C3C5C2B06414180FCC50BF3756C41582F2C442B0641418C65FA09F3756C413881FCD020064141BC7E4E35F2756C41186C2337F80541411441CFFAEE756C4160196783F4054141A44D7BAFEE756C41100BB57FF4054141A44D7BAFEE756C412841CB93DA05414114650FA0EC756C4101000000010000000001000000FFFFFFFF0000000002,NULL,6,2,NULL,0.03007822,0.59500247,8.01200000,0.01200000,36.59517375,5,NULL,0,0.20566788,90,0.60520204
30,262206022,260722063701.00000000,126.00000000,8,PVC,0.04184717,LOCAL,NULL,NULL,51,LOW,NULL,NULL,25,260722063702.00000000,5.27274400,0x5F0D000001040900000070738953B512414108B94BC268766C41D042BB86AF124141D013EF2768766C4158A61875AA124141E8DE76A667766C414834CDC9A6124141384CA74667766C41808F547DA4124141D833970A67766C41089D7DFCA3124141B4705FFD66766C41A0E35C569D1241413011CF4F66766C41A0F43E079B124141ACB7731366766C41F82195F57A1241412C3024CE62766C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.01644682,8.01200000,0.01200000,43.91420850,6,NULL,0,0.22376667,90,0.76827010
31,262206027,260722063707.00000000,228.00000000,8,PVC,0.06386927,LOCAL,NULL,NULL,55,LOW,NULL,NULL,25,260722063705.00000000,14.56219400,0x5F0D0000010409000000D88B0E6AF2124141340A5C52B9766C4198A47EE6E3124141FC61F753B8766C41D8AD314FD7124141BC3F0491B7766C41A8E70392C8124141707DEBC9B6766C4100BDA92EBA12414144444426B6766C41A0A52BEEA3124141982D2C62B5766C41F0B01C21A012414154A43B4FB5766C41E892D03492124141985EE8F6B4766C41788662B781124141A091A8B9B4766C4101000000010000000001000000FFFFFFFF0000000002,NULL,24,2,NULL,0.12031290,0.31950669,8.01200000,0.01200000,14.63806950,2,NULL,0,0.01876991,90,3.66436672
32,262206082,260722063728.00000000,206.00000000,8,PVC,0.01039827,LOCAL,NULL,NULL,77,LOW,NULL,NULL,20,260722063612.00000000,2.14204300,0x5F0D0000010408000000B0DEBBD1CD0F4141289F71F070766C4198D7F0E4AF0F41418C755DFA70766C4150784268AD0F4141FCE841FB70766C41289451EAAA0F4141B4AD79FC70766C411067116AA80F414128215EFD70766C4190DA576B8A0F414134534D0A71766C4138C4F8F0870F4141A8C6310B71766C41B870A062660F4141A8C7892C71766C4101000000010000000001000000FFFFFFFF0000000002,NULL,26,2,NULL,0.13033897,0.85784233,8.01200000,0.01200000,43.91420850,6,NULL,0,0.06232337,NULL,1.90993108
33,262206058,260722063729.00000000,383.00000000,8,PVC,0.01253318,LOCAL,NULL,NULL,77,LOW,NULL,NULL,20,260722063728.00000000,4.80020800,0x5F0D000001040C000000686D53BF8D104141F8B1759E70766C41F05A7BF1711041411CB6CDA770766C4140BF3B3C70104141588861A870766C41E086054836104141B07705C170766C41D020985635104141E84999C170766C41F8E146C82F1041411482B5C370766C415812C6472E10414104E83DC570766C4180DD43C8F40F4141DCE43DDD70766C4170B463CDF20F41415C0825DE70766C41D03AF650ED0F4141BCE191E070766C41306B75D0EB0F4141F8B325E170766C41B0DEBBD1CD0F4141289F71F070766C4101000000010000000001000000FFFFFFFF0000000002,NULL,16,2,NULL,0.08020860,0.48084381,8.01200000,0.01200000,73.19034750,10,NULL,0,0.05586864,NULL,1.61387237
34,262206060,260722063731.00000000,295.00000000,8,PVC,0.01376708,LOCAL,NULL,NULL,76,LOW,NULL,NULL,20,260722063730.00000000,4.06128800,0x5F0D000001040C000000A06792B599114141A8F4392770766C41A0B1AFAE9611414140B6C52B70766C4180E1821D9511414140B6C52B70766C41F858E7CD781141418CA4BD3770766C41904D05D2751141414469F53870766C41D0FE66CD73114141B8DCD93970766C41C84B4A547211414130CF7D3A70766C41F0F7B14E33114141B427815570766C41F814A6B831114141E449125670766C416035F5CF2D114141E05F9D5770766C41903306532C1141411C32315870766C4130A9DA6A071141418CF33D6D70766C4101000000010000000001000000FFFFFFFF0000000002,NULL,1,2,NULL,0.00501304,0.02867438,8.01200000,0.01200000,73.19034750,10,NULL,0,0.15929153,NULL,0.76827010
35,262206062,260722063734.00000000,239.00000000,8,PVC,0.03002400,LOCAL,NULL,NULL,74,LOW,NULL,NULL,20,260722063733.00000000,7.17573600,0x5F0D000001040800000000731AC007114141CC600C0D8E766C41D01DC47DEB1041411CE7CF128E766C4178950107E91041418C5AB4138E766C41E06B75FBE61041410C7E9B148E766C41782C0287E410414180F17F158E766C41B826F019A61041413CEBD3308E766C417861FE30A5104141044A83308E766C41306BE2B68E104141F4623B3F8E766C4101000000010000000001000000FFFFFFFF0000000002,NULL,10,2,NULL,0.05013037,0.19416921,8.01200000,0.01200000,43.91420850,6,NULL,0,0.05371805,NULL,2.75945117
36,262206084,260722063736.00000000,350.00000000,8,PVC,0.00947961,LOCAL,NULL,NULL,78,LOW,NULL,NULL,20,260722063615.00000000,3.31786500,0x5F0D000001040B00000010D02302E90F414178F2C921AC766C41A00C0E7EAD0F41419C2A9238AC766C4178E72F84AB0F4141109E7639AC766C41E0891200AA0F41418C901A3AAC766C4160CA536BA90F414190C15D3AAC766C416028F37AA80F4141C862AE3AAC766C41609D89FE840F4141FCCCB949AC766C4108495800820F4141AC12324BAC766C41404E642D4A0F41418C8EF162AC766C416027F53A470F414138A32664AC766C4120AA1680380F4141BC7D168CAC766C4101000000010000000001000000FFFFFFFF0000000002,NULL,26,2,NULL,0.13033897,0.89844766,8.01200000,0.01200000,58.55227800,8,NULL,1,0.04890900,90,1.90993108
37,262206065,260722063738.00000000,266.00000000,8,PVC,0.02908187,LOCAL,NULL,NULL,75,LOW,NULL,NULL,20,260722063737.00000000,7.73577800,0x5F0D0000010408000000E86FE837141141417CA1ED94AB766C41B89EB4D0EB104141AC0E26B1AB766C4178A113C0E910414120820AB2AB766C41980841D1E6104141782386B6AB766C41D00FB6D0E01041413C51F2B5AB766C4158375E16A7104141CC122ACFAB766C41405F8D28A61041418CC1D6CEAB766C41E8DED6AB8F104141C0A9F5D0AB766C4101000000010000000001000000FFFFFFFF0000000002,NULL,10,2,NULL,0.05013037,0.19728928,8.01200000,0.01200000,43.91420850,6,NULL,0,0.04826547,NULL,2.75945117
38,262206085,260722063740.00000000,256.00000000,8,PVC,0.00912492,LOCAL,NULL,NULL,73,LOW,NULL,NULL,20,260722063618.00000000,2.33598000,0x5F0D000001040A000000C00F2D190E104141144E38A4C9766C41D8A4B5F0ED0F4141388600BBC9766C41700B03F2EC0F4141B478A4BBC9766C41B8C424F8EB0F4141B8A9E7BBC9766C4160E222F7EA0F414128EC88BCC9766C4180FF1FF7AE0F4141B8ADC0D5C9766C41384632F0AD0F4141FCFE13D6C9766C41980500BCA70F41416009C4D8C9766C4160CBD1B4A60F41415C8A04D9C9766C416805190C8D0F4141BCDF5BF7C9766C4101000000010000000001000000FFFFFFFF0000000002,NULL,43,2,NULL,0.21556061,1.51449765,8.01200000,0.01200000,58.55227800,8,NULL,0,0.06686777,NULL,2.44747134
39,262206067,260722063741.00000000,260.00000000,8,PVC,0.00415925,LOCAL,NULL,NULL,75,LOW,NULL,NULL,20,260722063740.00000000,1.08140600,0x5F0D0000010408000000E002C2E68F104141B428CC64C9766C41F00C1A2176104141A0D9FB81C9766C41183F7A4675104141985A3C82C9766C414038C5C7341041415CD34F9DC9766C41F082E798341041415CD34F9DC9766C41D0CB28C4331041418CF5E09DC9766C4180E9349A331041418CF5E09DC9766C41C00F2D190E104141144E38A4C9766C4101000000010000000001000000FFFFFFFF0000000002,NULL,37,2,NULL,0.18548239,1.93022929,8.01200000,0.01200000,43.91420850,6,NULL,0,0.04937929,NULL,1.70354545
40,262206068,260722063742.00000000,264.00000000,8,PVC,0.02802980,LOCAL,NULL,NULL,74,LOW,NULL,NULL,20,260722063741.00000000,7.39986800,0x5F0D000001040800000008FB099E14114141BCDD7834C9766C4190EE20CCEA104141B4A96050C9766C41F0DDB2CFE9104141F4FAB350C9766C41581EA48DE9104141F4FAB350C9766C41E0C0E48DE810414130CD4751C9766C41609DBD30A710414170A3B46BC9766C41A815F2BAA6104141B0F4076CC9766C41E002C2E68F104141B428CC64C9766C4101000000010000000001000000FFFFFFFF0000000002,NULL,10,2,NULL,0.05013037,0.20095770,8.01200000,0.01200000,43.91420850,6,NULL,0,0.04863112,90,2.75945117
